x0000,y0000,x0001,y0001
10.04,4.317486657,10.04,0.01986859149,
10.08,4.317486657,10.08,0.01986859149,
10.12,4.321488276,10.12,0.01986859149,
10.16,4.317486657,10.16,0.02386998582,
10.2,4.317486657,10.2,0.01986859149,
10.24,4.317486657,10.24,0.01986859149,
10.28,4.321488276,10.28,0.01986859149,
10.32,4.321488276,10.32,0.02386998582,
10.36,4.313485038,10.36,0.01986859149,
10.4,4.321488276,10.4,0.01986859149,
10.44,4.321488276,10.44,0.01986859149,
10.48,4.321488276,10.48,0.01986859149,
10.52,4.321488276,10.52,0.01986859149,
10.56,4.321488276,10.56,0.01986859149,
10.6,4.317486657,10.6,0.01986859149,
10.64,4.321488276,10.64,0.01986859149,
10.68,4.317486657,10.68,0.01986859149,
10.72,4.321488276,10.72,0.01986859149,
10.76,4.317486657,10.76,0.01986859149,
10.8,4.321488276,10.8,0.01986859149,
10.84,4.321488276,10.84,0.01986859149,
10.88,4.317486657,10.88,0.01986859149,
10.92,4.317486657,10.92,0.01986859149,
10.96,4.321488276,10.96,0.01986859149,
11,4.317486657,11,0.01986859149,
11.04,4.317486657,11.04,0.01986859149,
11.08,4.321488276,11.08,0.01986859149,
11.12,4.317486657,11.12,0.01986859149,
11.16,4.321488276,11.16,0.02386998582,
11.2,4.317486657,11.2,0.01986859149,
11.24,4.317486657,11.24,0.01986859149,
11.28,4.321488276,11.28,0.01986859149,
11.32,4.317486657,11.32,0.01986859149,
11.36,4.321488276,11.36,0.01986859149,
11.4,4.321488276,11.4,0.01986859149,
11.44,4.321488276,11.44,0.01986859149,
11.48,4.321488276,11.48,0.01986859149,
11.52,4.317486657,11.52,0.01986859149,
11.56,4.321488276,11.56,0.01986859149,
11.6,4.321488276,11.6,0.01986859149,
11.64,4.321488276,11.64,0.01986859149,
11.68,4.317486657,11.68,0.01986859149,
11.72,4.317486657,11.72,0.01986859149,
11.76,4.317486657,11.76,0.01986859149,
11.8,4.321488276,11.8,0.01986859149,
11.84,4.321488276,11.84,0.01986859149,
